series_id,reference_period,value
# ---------------------------------------------------------------------------
# HOW TO USE THIS FILE
# ---------------------------------------------------------------------------
# series_id        : must match an id in macro_series.csv
# reference_period : the period the observation COVERS
#                    monthly   → "YYYY-MM"  e.g. "2024-03"
#                    quarterly → "YYYY-QN"  e.g. "2024-Q1"
#                    pandas Period strings are also accepted.
# value            : the observation in the units specified in macro_series.csv
#
# The release date is estimated as:
#   period_end_date + typical_lag_days  (from macro_series.csv)
# and snapped to the next business day.
#
# If you later obtain actual release dates, pass the data as a
# dict[series_id, pd.Series] with a DatetimeIndex to load_macro_data()
# — that bypasses the lag estimation entirely.
# ---------------------------------------------------------------------------
# ILLUSTRATIVE EXAMPLE ROWS — replace with real data from Bloomberg/Haver/ECB
# ---------------------------------------------------------------------------
ea_composite_pmi,2024-01,47.9
ea_composite_pmi,2024-02,48.9
ea_composite_pmi,2024-03,49.9
ea_composite_pmi,2024-04,51.4
ea_composite_pmi,2024-05,52.2
ea_composite_pmi,2024-06,50.8
ea_services_pmi,2024-01,48.4
ea_services_pmi,2024-02,50.2
ea_services_pmi,2024-03,51.5
ea_services_pmi,2024-04,53.3
ea_services_pmi,2024-05,53.2
ea_services_pmi,2024-06,52.6
ea_core_hicp_yoy,2024-01,3.3
ea_core_hicp_yoy,2024-02,3.1
ea_core_hicp_yoy,2024-03,2.9
ea_core_hicp_yoy,2024-04,2.7
ea_core_hicp_yoy,2024-05,2.6
ea_unemployment_rate,2024-01,6.4
ea_unemployment_rate,2024-02,6.5
ea_unemployment_rate,2024-03,6.4
ea_unemployment_rate,2024-04,6.4
ea_unemployment_rate,2024-05,6.4
ea_industrial_production_yoy,2024-01,-6.4
ea_industrial_production_yoy,2024-02,-4.2
ea_industrial_production_yoy,2024-03,-3.0
ea_industrial_production_yoy,2024-04,-2.9
ea_ces_inflation_exp_1y,2024-01,3.3
ea_ces_inflation_exp_1y,2024-02,3.1
ea_ces_inflation_exp_1y,2024-03,2.9
ea_ces_inflation_exp_1y,2024-04,2.8
ea_ces_inflation_exp_1y,2024-05,2.7
ea_negotiated_wages_yoy,2024-Q1,4.69
ea_negotiated_wages_yoy,2024-Q2,3.55
ea_negotiated_wages_yoy,2024-Q3,5.42
ea_job_vacancy_rate,2024-Q1,2.9
ea_job_vacancy_rate,2024-Q2,2.8
ea_job_vacancy_rate,2024-Q3,2.7
