date,1y10y_fwd,2y1y_fwd,1m10y_vol,1y10y_vol
2025-06-17,2.68,2.52,72.0,82.0
2025-06-18,2.6903,2.5037,70.82,80.71
2025-06-19,2.7244,2.5188,71.43,83.41
2025-06-20,2.7743,2.545,69.23,82.68
2025-06-23,2.7061,2.4717,72.61,84.31
2025-06-24,2.7831,2.5142,67.72,80.51
2025-06-25,2.7821,2.5104,74.15,83.37
2025-06-26,2.7827,2.5355,73.54,83.74
2025-06-27,2.7969,2.5692,68.96,82.27
2025-06-30,2.7895,2.569,68.1,83.75
2025-07-01,2.706,2.5436,68.25,85.64
2025-07-02,2.7544,2.6066,69.25,88.68
2025-07-03,2.7294,2.5717,68.22,89.04
2025-07-04,2.6766,2.5584,68.74,87.85
2025-07-07,2.6335,2.5042,65.94,86.82
2025-07-08,2.6681,2.5552,63.35,85.54
2025-07-09,2.6684,2.5729,64.79,86.15
2025-07-10,2.5942,2.5116,67.35,86.49
2025-07-11,2.5846,2.4691,67.11,86.76
2025-07-14,2.6695,2.5058,65.19,84.26
2025-07-15,2.6658,2.4971,67.9,86.66
2025-07-16,2.6724,2.4992,71.21,88.41
2025-07-17,2.7331,2.5016,74.89,89.35
2025-07-18,2.6887,2.4679,72.62,88.76
2025-07-21,2.6699,2.4624,70.26,87.12
2025-07-22,2.6738,2.4611,74.68,89.99
2025-07-23,2.6819,2.4189,75.7,91.83
2025-07-24,2.6541,2.3945,67.78,86.01
2025-07-25,2.571,2.3367,69.66,86.78
2025-07-28,2.555,2.3536,66.53,84.91
2025-07-29,2.5805,2.3695,65.85,83.35
2025-07-30,2.5684,2.3808,60.62,80.25
2025-07-31,2.5466,2.3636,66.62,82.72
2025-08-01,2.6079,2.4399,65.12,81.85
2025-08-04,2.6161,2.4246,67.05,81.98
2025-08-05,2.6183,2.369,65.11,81.46
2025-08-06,2.574,2.3465,65.03,82.53
2025-08-07,2.6257,2.3917,63.86,81.74
2025-08-08,2.6255,2.4245,70.97,83.76
2025-08-11,2.5849,2.4311,68.6,80.86
2025-08-12,2.6707,2.4885,65.8,78.63
2025-08-13,2.6939,2.4761,70.54,81.95
2025-08-14,2.6914,2.4604,70.99,83.4
2025-08-15,2.7957,2.5795,70.8,83.2
2025-08-18,2.843,2.6058,70.48,84.32
2025-08-19,2.8645,2.6044,65.64,82.25
2025-08-20,2.8669,2.6311,65.69,81.68
2025-08-21,2.906,2.6866,58.68,76.0
2025-08-22,2.9075,2.6853,58.49,76.75
2025-08-25,2.9844,2.7151,56.82,75.58
2025-08-26,2.9878,2.6848,58.66,76.41
2025-08-27,3.0644,2.7527,54.94,72.43
2025-08-28,3.0545,2.7253,54.59,72.53
2025-08-29,3.0579,2.7332,58.83,75.12
2025-09-01,3.1605,2.8146,55.25,71.21
2025-09-02,3.1004,2.7933,58.89,73.01
2025-09-03,3.0848,2.7576,59.24,73.3
2025-09-04,2.9977,2.7114,55.98,72.03
2025-09-05,2.9908,2.7138,54.71,73.31
2025-09-08,3.0145,2.7481,53.94,72.65
2025-09-09,3.0446,2.8045,57.35,74.22
2025-09-10,3.041,2.8092,56.99,73.07
2025-09-11,3.0419,2.8209,58.71,73.8
2025-09-12,3.0098,2.8084,60.88,73.81
2025-09-15,3.0424,2.8511,59.98,71.77
2025-09-16,2.9881,2.8196,60.09,71.56
2025-09-17,2.9379,2.8015,56.2,69.53
2025-09-18,2.9479,2.8226,57.61,68.78
2025-09-19,2.927,2.7844,55.35,65.51
2025-09-22,2.942,2.8246,53.61,65.57
2025-09-23,2.9591,2.8106,53.5,65.55
2025-09-24,2.9841,2.8298,48.45,65.07
2025-09-25,2.9947,2.8089,44.73,61.96
2025-09-26,2.9755,2.7745,44.86,60.74
2025-09-29,2.9929,2.7581,46.94,62.57
2025-09-30,2.9276,2.6955,52.04,65.47
2025-10-01,2.9581,2.7463,48.46,63.03
2025-10-02,2.9651,2.7426,49.96,65.54
2025-10-03,2.9521,2.7373,50.52,63.33
2025-10-06,2.9138,2.7014,50.87,64.5
2025-10-07,2.9526,2.7108,53.55,65.21
2025-10-08,2.9596,2.7044,50.11,62.45
2025-10-09,2.8884,2.6715,56.25,66.89
2025-10-10,2.8721,2.6767,51.47,65.66
2025-10-13,2.9427,2.7462,48.68,65.09
2025-10-14,2.9404,2.7153,45.78,63.2
2025-10-15,2.9369,2.6433,55.28,67.56
2025-10-16,2.9844,2.6798,58.0,71.61
2025-10-17,2.9574,2.6505,60.73,74.21
2025-10-20,2.9613,2.6494,56.91,72.25
2025-10-21,2.9154,2.6153,61.86,75.3
2025-10-22,2.9253,2.5821,63.37,75.37
2025-10-23,2.8432,2.5567,64.68,76.2
2025-10-24,2.8591,2.6026,62.0,76.53
2025-10-27,2.8541,2.5776,62.75,76.08
2025-10-28,2.8468,2.6124,57.52,73.38
2025-10-29,2.8431,2.6009,56.71,73.68
2025-10-30,2.8158,2.5038,54.07,71.79
2025-10-31,2.8494,2.5449,47.54,68.85
2025-11-03,2.8506,2.5328,46.91,69.02
2025-11-04,2.8591,2.5136,44.57,67.69
2025-11-05,2.93,2.5961,45.06,66.38
2025-11-06,2.893,2.5868,48.96,67.35
2025-11-07,2.8825,2.5574,48.42,68.14
2025-11-10,2.8676,2.5226,45.49,66.27
2025-11-11,2.8517,2.5505,44.08,64.25
2025-11-12,2.8736,2.5734,44.32,64.4
2025-11-13,2.8516,2.5596,47.88,64.82
2025-11-14,2.8839,2.6127,46.11,67.26
2025-11-17,2.9557,2.6216,48.15,68.95
2025-11-18,2.9077,2.5998,48.66,70.18
2025-11-19,2.8648,2.542,55.91,73.89
2025-11-20,2.8924,2.5899,55.03,72.77
2025-11-21,2.909,2.6503,55.14,73.22
2025-11-24,2.8976,2.6506,54.37,73.15
2025-11-25,2.9334,2.715,56.27,74.54
2025-11-26,3.0082,2.7684,54.17,71.01
2025-11-27,3.0159,2.7909,57.4,72.5
2025-11-28,3.1036,2.8785,52.24,70.09
2025-12-01,3.0963,2.9064,52.78,69.3
2025-12-02,3.1024,2.8939,48.23,65.78
2025-12-03,3.1018,2.8766,52.59,66.4
2025-12-04,3.064,2.8196,54.64,69.15
2025-12-05,3.0585,2.8086,58.68,74.02
2025-12-08,3.0681,2.7631,55.41,72.84
2025-12-09,3.0768,2.7126,57.31,74.45
2025-12-10,3.0164,2.711,59.33,76.16
2025-12-11,2.989,2.7355,66.53,80.14
2025-12-12,3.0449,2.7474,65.35,78.27
2025-12-15,3.0328,2.714,64.96,78.84
2025-12-16,2.9622,2.6283,65.87,80.07
2025-12-17,3.0282,2.6688,64.0,78.39
2025-12-18,2.9986,2.6512,63.43,79.0
2025-12-19,2.9854,2.6583,66.72,81.56
2025-12-22,2.9508,2.6447,69.43,82.72
2025-12-23,3.006,2.6826,66.35,80.23
2025-12-24,3.0121,2.7068,65.39,80.91
2025-12-25,3.0848,2.7397,65.49,82.48
2025-12-26,3.0564,2.6858,68.02,84.19
2025-12-29,3.0238,2.6764,69.58,84.74
2025-12-30,3.042,2.6833,70.5,82.09
2025-12-31,3.0181,2.6678,67.61,80.26
2026-01-01,2.9881,2.647,64.55,77.06
2026-01-02,2.9379,2.5831,62.78,76.03
2026-01-05,3.008,2.6594,56.31,74.01
2026-01-06,3.0289,2.6724,52.92,74.0
2026-01-07,2.984,2.6303,59.24,77.56
2026-01-08,3.0077,2.6488,58.33,77.05
2026-01-09,3.0556,2.6864,59.11,75.71
2026-01-12,3.0704,2.7076,59.16,77.06
2026-01-13,3.1243,2.7764,58.15,76.63
2026-01-14,3.1266,2.8029,55.28,73.03
2026-01-15,3.1647,2.791,49.0,71.31
2026-01-16,3.1325,2.7218,53.68,73.5
2026-01-19,3.1118,2.7017,54.47,74.18
2026-01-20,3.082,2.6856,55.47,71.69
2026-01-21,3.0168,2.6103,56.95,72.94
2026-01-22,3.0839,2.6294,56.35,73.06
2026-01-23,3.1172,2.6504,56.61,73.33
2026-01-26,3.135,2.6803,47.91,68.28
2026-01-27,3.138,2.6404,52.7,70.13
2026-01-28,3.1748,2.6412,51.9,69.6
2026-01-29,3.1454,2.6001,54.41,71.14
2026-01-30,3.1243,2.6148,56.34,71.65
2026-02-02,3.0575,2.5933,58.29,71.61
2026-02-03,2.9826,2.5816,60.61,71.94
2026-02-04,2.9665,2.5207,64.15,74.03
2026-02-05,2.9944,2.4979,64.56,73.77
2026-02-06,3.0104,2.5152,63.09,72.0
2026-02-09,2.9842,2.4623,63.48,74.62
2026-02-10,3.0134,2.5131,63.42,75.35
2026-02-11,3.0056,2.4832,61.25,75.49
2026-02-12,2.9754,2.4627,64.37,76.62
2026-02-13,2.9883,2.4481,63.14,75.25
2026-02-16,3.0083,2.4814,63.89,75.54
