date,1y1y,2y1y,3y1y,4y1y,5y1y,6y1y,7y1y,8y1y,9y1y,1y2y,2y2y,3y2y,4y2y,5y2y,6y2y,7y2y,8y2y,10y2y,12y3y,1y5y,2y5y,3y5y,5y5y,7y5y,10y5y,15y5y,20y5y,1y10y,2y10y,3y10y,5y10y,10y10y,20y10y,2y15y,5y15y,10y15y,1y20y,2y20y,5y20y,10y20y,2y25y,5y25y,2y30y,5y30y,1y30y,30y20y
2025-06-17,2.5366,2.5875,2.6005,2.5979,2.5898,2.5804,2.5723,2.5658,2.5599,2.5618,2.5939,2.5992,2.5939,2.5852,2.5764,2.5691,2.5629,2.5558,2.5512,2.5819,2.5913,2.5886,2.574,2.5622,2.5531,2.5492,2.5485,2.5751,2.5777,2.5743,2.5642,2.5513,2.5483,2.5697,2.5598,2.5504,2.5643,2.5655,2.5575,2.55,2.5628,2.5561,2.5613,2.5557,2.5603,2.5533
2025-06-18,2.5621,2.6122,2.6247,2.6214,2.6116,2.6013,2.5932,2.586,2.5806,2.5868,2.6183,2.623,2.6165,2.6065,2.5973,2.5896,2.5833,2.5751,2.571,2.6058,2.6144,2.6108,2.5949,2.5823,2.5727,2.5685,2.5678,2.5974,2.5993,2.5954,2.5845,2.5708,2.568,2.5909,2.5799,2.5699,2.5854,2.5862,2.5774,2.5695,2.5834,2.576,2.5819,2.5758,2.5811,2.5742
2025-06-19,2.6271,2.6751,2.6864,2.682,2.6724,2.6618,2.6537,2.6458,2.6408,2.6508,2.6807,2.6842,2.6773,2.6672,2.6578,2.6498,2.6434,2.636,2.6313,2.6681,2.6758,2.6717,2.6553,2.6427,2.6333,2.6288,2.6279,2.6588,2.6603,2.6562,2.645,2.6312,2.6279,2.6517,2.6403,2.6302,2.6464,2.6469,2.6378,2.6297,2.644,2.6363,2.6424,2.6361,2.6419,2.6353
2025-06-20,2.7072,2.7475,2.7542,2.7474,2.7356,2.7245,2.7157,2.7071,2.7021,2.7271,2.7508,2.7509,2.7416,2.7301,2.7201,2.7114,2.7046,2.6966,2.6918,2.7381,2.7422,2.736,2.7174,2.7038,2.6938,2.6897,2.6889,2.7249,2.7243,2.7189,2.7064,2.6919,2.6887,2.7147,2.7016,2.691,2.7102,2.7095,2.699,2.6905,2.7064,2.6974,2.7048,2.6977,2.705,2.6998
2025-06-23,2.7194,2.7614,2.7694,2.7633,2.7532,2.7426,2.734,2.7273,2.7212,2.7401,2.7653,2.7663,2.7583,2.748,2.7383,2.7307,2.7243,2.7167,2.7119,2.7529,2.7582,2.753,2.7361,2.7234,2.7139,2.7094,2.7092,2.7417,2.742,2.7372,2.7257,2.7118,2.7088,2.733,2.721,2.711,2.7284,2.7282,2.7186,2.7105,2.7253,2.717,2.7238,2.7172,2.7237,2.7181
2025-06-24,2.6874,2.7386,2.7553,2.7562,2.7507,2.7442,2.7376,2.7333,2.7286,2.7127,2.7469,2.7558,2.7535,2.7475,2.741,2.7355,2.731,2.7248,2.7218,2.7369,2.749,2.7491,2.7392,2.73,2.7231,2.7194,2.7197,2.7356,2.7401,2.7388,2.7317,2.7214,2.7194,2.7346,2.7281,2.7209,2.7291,2.7315,2.7264,2.7205,2.7297,2.7253,2.7285,2.7246,2.7267,2.7191
2025-06-25,2.6462,2.7038,2.7245,2.7283,2.7239,2.7188,2.7136,2.7079,2.7039,2.6746,2.714,2.7264,2.7261,2.7214,2.7162,2.7108,2.7059,2.7011,2.6971,2.7044,2.7197,2.722,2.7139,2.7057,2.6988,2.6956,2.6951,2.7067,2.7132,2.7129,2.7068,2.6973,2.6953,2.7083,2.7036,2.6967,2.7023,2.7057,2.7019,2.6964,2.7041,2.7009,2.703,2.6998,2.7005,2.6917
2025-06-26,2.5912,2.6586,2.6837,2.6896,2.6868,2.6812,2.6767,2.6707,2.6676,2.6245,2.671,2.6866,2.6882,2.6841,2.679,2.6737,2.6691,2.6628,2.6599,2.6608,2.6797,2.6837,2.6769,2.6683,2.6611,2.658,2.6576,2.6662,2.6744,2.675,2.6695,2.6597,2.6578,2.67,2.6662,2.6591,2.663,2.6675,2.6644,2.6588,2.666,2.6635,2.6648,2.662,2.6616,2.6512
2025-06-27,2.5714,2.6385,2.665,2.6728,2.672,2.6675,2.6632,2.6591,2.656,2.6045,2.6516,2.6689,2.6724,2.6698,2.6654,2.6611,2.6575,2.6526,2.6497,2.6427,2.6628,2.6681,2.6638,2.6568,2.6509,2.6479,2.6483,2.6508,2.66,2.6617,2.6577,2.6495,2.6481,2.6569,2.6549,2.6491,2.65,2.655,2.6535,2.6489,2.654,2.6527,2.6528,2.651,2.6493,2.6388
2025-06-30,2.5399,2.607,2.6353,2.644,2.6452,2.6417,2.6385,2.6345,2.6323,2.573,2.621,2.6396,2.6446,2.6435,2.6401,2.6365,2.6334,2.6296,2.6268,2.613,2.6342,2.6409,2.6386,2.633,2.628,2.6255,2.6247,2.6236,2.6337,2.6362,2.6336,2.6268,2.6253,2.6316,2.6313,2.6262,2.6247,2.6302,2.6299,2.6261,2.6294,2.6293,2.6285,2.6275,2.6246,2.614
2025-07-01,2.5466,2.616,2.6454,2.6558,2.6573,2.6545,2.6523,2.6485,2.646,2.5809,2.6305,2.6505,2.6565,2.6559,2.6534,2.6504,2.6473,2.6437,2.6409,2.6228,2.6453,2.653,2.6519,2.647,2.642,2.64,2.6396,2.6352,2.6461,2.6492,2.6473,2.6411,2.6395,2.6445,2.6452,2.6406,2.6375,2.6435,2.644,2.6404,2.6429,2.6433,2.6419,2.6414,2.6377,2.6267
2025-07-02,2.5465,2.6074,2.6305,2.6369,2.6357,2.6312,2.6273,2.6236,2.6205,2.5765,2.6188,2.6337,2.6363,2.6334,2.6292,2.6255,2.6221,2.6164,2.6141,2.6103,2.628,2.6324,2.6278,2.621,2.6151,2.6128,2.6125,2.6168,2.6247,2.6258,2.6219,2.614,2.6125,2.6216,2.6192,2.6136,2.6153,2.6197,2.6178,2.6134,2.6186,2.617,2.6176,2.6156,2.6145,2.6051
2025-07-03,2.5017,2.56,2.5833,2.5904,2.589,2.5861,2.5831,2.5787,2.5755,2.5305,2.5715,2.5868,2.5897,2.5875,2.5846,2.5809,2.5771,2.5735,2.5707,2.5638,2.5814,2.5864,2.5826,2.577,2.5719,2.5698,2.569,2.5712,2.5794,2.5809,2.5776,2.5709,2.5692,2.5767,2.5753,2.5703,2.5709,2.5753,2.574,2.5701,2.5743,2.5733,2.5733,2.5719,2.5702,2.5612
2025-07-04,2.4739,2.5417,2.5729,2.5854,2.5891,2.5894,2.5879,2.5864,2.5845,2.5074,2.5571,2.5791,2.5873,2.5893,2.5887,2.5872,2.5855,2.5821,2.5811,2.5512,2.5752,2.5848,2.5875,2.5847,2.5815,2.5798,2.5796,2.5676,2.5796,2.5841,2.5847,2.5807,2.5801,2.58,2.5833,2.5804,2.5732,2.5799,2.5825,2.5805,2.5799,2.5823,2.5792,2.58,2.5746,2.5636
2025-07-07,2.4967,2.5597,2.5879,2.5977,2.5997,2.5985,2.5961,2.5934,2.5916,2.5278,2.5736,2.5927,2.5987,2.5991,2.5973,2.5947,2.5925,2.5896,2.5874,2.5671,2.5882,2.5959,2.5959,2.5921,2.5883,2.586,2.5866,2.5797,2.5901,2.5934,2.5924,2.5872,2.5863,2.5892,2.5905,2.5871,2.5828,2.5885,2.5897,2.5868,2.5882,2.5891,2.5874,2.5873,2.5834,2.5733
2025-07-08,2.4778,2.5424,2.5726,2.5853,2.5899,2.59,2.5888,2.5868,2.5867,2.5097,2.5573,2.5789,2.5876,2.59,2.5894,2.5878,2.5867,2.5843,2.5827,2.5522,2.5755,2.5851,2.5885,2.5862,2.5834,2.5819,2.5824,2.5688,2.5805,2.5851,2.5861,2.5827,2.5823,2.5811,2.5849,2.5826,2.5747,2.5813,2.5844,2.5825,2.5814,2.584,2.5808,2.5818,2.5762,2.5657
2025-07-09,2.4459,2.5145,2.5462,2.559,2.5626,2.5626,2.5605,2.559,2.5581,2.4798,2.5301,2.5525,2.5608,2.5626,2.5615,2.5597,2.5585,2.5548,2.5537,2.5242,2.5484,2.558,2.5606,2.5575,2.5542,2.5529,2.5524,2.5406,2.5527,2.5571,2.5576,2.5536,2.5525,2.5529,2.5562,2.5532,2.5461,2.5529,2.5554,2.5531,2.5528,2.555,2.552,2.5528,2.5474,2.5363
2025-07-10,2.4393,2.5162,2.553,2.5684,2.5746,2.5756,2.5745,2.5732,2.5714,2.4772,2.5344,2.5606,2.5715,2.5751,2.5751,2.5739,2.5723,2.5702,2.568,2.5287,2.5568,2.569,2.5739,2.572,2.5689,2.5677,2.5676,2.5495,2.5639,2.5698,2.5716,2.5683,2.5677,2.5651,2.5704,2.5681,2.5576,2.5656,2.5698,2.5681,2.5659,2.5696,2.5652,2.5669,2.5597,2.5471
