date,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,25y,30y
2025-06-17,2.4074,2.4712,2.509,2.531,2.5437,2.5509,2.5548,2.5568,2.5577,2.5579,2.5576,2.5565,2.555,2.554,2.5533
2025-06-18,2.4312,2.4958,2.5336,2.5555,2.568,2.5748,2.5783,2.58,2.5806,2.5806,2.5798,2.5783,2.5763,2.575,2.5742
2025-06-19,2.5005,2.563,2.5994,2.6203,2.632,2.6383,2.6414,2.6428,2.6431,2.6429,2.6419,2.6401,2.6378,2.6363,2.6353
2025-06-20,2.5933,2.6495,2.6813,2.6988,2.708,2.7123,2.7139,2.7141,2.7134,2.7124,2.7101,2.707,2.7035,2.7013,2.6998
2025-06-23,2.6051,2.6615,2.6939,2.712,2.7217,2.7266,2.7287,2.7293,2.7291,2.7284,2.7267,2.7242,2.7212,2.7194,2.7181
2025-06-24,2.5646,2.6252,2.662,2.6844,2.698,2.7062,2.7112,2.7142,2.7161,2.7172,2.7183,2.7189,2.719,2.7191,2.7191
2025-06-25,2.5123,2.5784,2.6191,2.6444,2.6603,2.6702,2.6766,2.6808,2.6835,2.6853,2.6876,2.6892,2.6905,2.6912,2.6917
2025-06-26,2.4386,2.5139,2.5609,2.5904,2.6092,2.6213,2.6292,2.6346,2.6382,2.6408,2.644,2.6467,2.649,2.6503,2.6512
2025-06-27,2.4237,2.4966,2.5427,2.5721,2.5912,2.6038,2.6122,2.618,2.6221,2.6251,2.6291,2.6326,2.6357,2.6376,2.6388
2025-06-30,2.3951,2.4666,2.5122,2.5418,2.5612,2.5743,2.5832,2.5895,2.594,2.5974,2.6021,2.6063,2.6102,2.6124,2.614
2025-07-01,2.3996,2.4722,2.5189,2.5493,2.5695,2.5832,2.5926,2.5994,2.6043,2.608,2.6132,2.6179,2.6224,2.625,2.6267
2025-07-02,2.412,2.4784,2.5203,2.5468,2.5639,2.5751,2.5825,2.5876,2.5912,2.5938,2.5971,2.6,2.6026,2.6041,2.6051
2025-07-03,2.3737,2.4369,2.4769,2.5025,2.5192,2.5301,2.5375,2.5427,2.5463,2.5489,2.5525,2.5556,2.5585,2.5601,2.5612
2025-07-04,2.3356,2.4039,2.4487,2.4786,2.4989,2.513,2.5231,2.5305,2.5361,2.5404,2.5465,2.5524,2.558,2.5613,2.5636
2025-07-07,2.3641,2.4296,2.4719,2.4998,2.5184,2.5311,2.54,2.5464,2.5511,2.5547,2.5598,2.5645,2.5689,2.5716,2.5733
2025-07-08,2.3472,2.4117,2.4542,2.4827,2.5022,2.5159,2.5257,2.5329,2.5383,2.5426,2.5487,2.5545,2.5601,2.5635,2.5657
2025-07-09,2.3056,2.3749,2.4203,2.4506,2.4712,2.4855,2.4957,2.5031,2.5087,2.5131,2.5192,2.5251,2.5308,2.5341,2.5363
2025-07-10,2.2856,2.3615,2.4118,2.4458,2.4691,2.4856,2.4975,2.5063,2.513,2.5182,2.5258,2.533,2.5401,2.5443,2.5471
2025-07-11,2.2554,2.3353,2.3883,2.4241,2.4487,2.466,2.4785,2.4878,2.4948,2.5003,2.5083,2.5159,2.5233,2.5277,2.5307
2025-07-14,2.3276,2.4007,2.4489,2.4811,2.5031,2.5185,2.5295,2.5376,2.5437,2.5484,2.5552,2.5617,2.568,2.5717,2.5742
2025-07-15,2.3244,2.3983,2.4463,2.478,2.4992,2.5138,2.5241,2.5315,2.537,2.5412,2.5471,2.5526,2.5579,2.561,2.5631
2025-07-16,2.2938,2.3674,2.4158,2.4482,2.4703,2.4857,2.4967,2.5048,2.5109,2.5157,2.5225,2.529,2.5352,2.5389,2.5414
2025-07-17,2.2591,2.3338,2.382,2.4136,2.4347,2.449,2.459,2.4662,2.4715,2.4755,2.4811,2.4863,2.4912,2.4941,2.496
2025-07-18,2.2817,2.3531,2.3985,2.4277,2.4468,2.4594,2.468,2.474,2.4783,2.4815,2.4858,2.4896,2.4931,2.4951,2.4965
2025-07-21,2.2647,2.3383,2.3843,2.4132,2.4317,2.4436,2.4514,2.4567,2.4603,2.4629,2.4662,2.4689,2.4712,2.4726,2.4735
2025-07-22,2.2911,2.3546,2.3943,2.4194,2.4355,2.446,2.4529,2.4576,2.4609,2.4632,2.4662,2.4687,2.471,2.4723,2.4731
2025-07-23,2.3343,2.3956,2.4339,2.458,2.4733,2.4832,2.4896,2.494,2.4969,2.499,2.5017,2.5039,2.5058,2.5068,2.5076
2025-07-24,2.2937,2.3622,2.4061,2.4348,2.4538,2.4666,2.4754,2.4817,2.4863,2.4898,2.4946,2.499,2.5031,2.5055,2.5071
2025-07-25,2.3446,2.4061,2.4449,2.4696,2.4855,2.496,2.503,2.5079,2.5113,2.5137,2.517,2.5198,2.5224,2.5238,2.5248
2025-07-28,2.2965,2.3629,2.4048,2.4316,2.4489,2.4603,2.468,2.4732,2.4769,2.4797,2.4833,2.4864,2.4892,2.4909,2.492
2025-07-29,2.3038,2.3725,2.4159,2.4435,2.4614,2.4732,2.481,2.4864,2.4903,2.493,2.4967,2.4999,2.5028,2.5045,2.5056
2025-07-30,2.3292,2.393,2.4329,2.4581,2.4742,2.4846,2.4915,2.4962,2.4994,2.5016,2.5046,2.507,2.5092,2.5104,2.5112
